"card_slug","card_name","issuer","rank","picking_rate_percent","monthly_saving","previous_spend","monthly_cap","rule_count","tier_count","has_external_benchmark","risk_score","priority","risk_signals","source_url","search_queries"
"naver-card-1337","IBK-Syrup카드","IBK기업은행","321","0.000","0","300000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.ibk.co.kr/cardbiz/detailBizNew.ibk?pageId=CA01020000&PDLN_CD=12&PDGR_CD=11&PDTM_CD=287&PDCD=0001&ad_cd=nvmo&mz_cd=ADGROUN","IBK-Syrup카드 피킹률 | IBK-Syrup카드 실제 혜택 | IBK기업은행 IBK-Syrup카드 카드 추천"
"naver-card-10289","신한카드 My TeenS","신한","326","0.000","0","200000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1210370_2207.html?empSeq=541&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_myteens","신한카드 My TeenS 피킹률 | 신한카드 My TeenS 실제 혜택 | 신한 신한카드 My TeenS 카드 추천"
"naver-card-10628","신한법인카드 SKYPASS","신한","341","0.000","0","0","1000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.shinhancard.com/cconts/html/card_request/card_info/mileagesave/2204067_101557.html?","신한법인카드 SKYPASS 피킹률 | 신한법인카드 SKYPASS 실제 혜택 | 신한 신한법인카드 SKYPASS 카드 추천"
"naver-card-10053","메리어트 본보이™ 더 베스트 신한카드","신한","342","0.000","0","300000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/premium/1200288_2205.html?EntryLoc2=3032&empSeq=2&btnApp=dp1&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_marriott","메리어트 본보이™ 더 베스트 신한카드 피킹률 | 메리어트 본보이™ 더 베스트 신한카드 실제 혜택 | 신한 메리어트 본보이™ 더 베스트 신한카드 카드 추천"
"naver-card-10469","신한카드 The CLASSIC-S","신한","343","0.000","0","500000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/premium/1196402_2205.html?EntryLoc2=2987&empSeq=566&btnApp=DP1W&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mo_classicms&utm_content=card&utm_term={keyword}","신한카드 The CLASSIC-S 피킹률 | 신한카드 The CLASSIC-S 실제 혜택 | 신한 신한카드 The CLASSIC-S 카드 추천"
"naver-card-10467","신한카드 The CLASSIC-V","신한","344","0.000","0","500000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/premium/1216601_2205.html?EntryLoc2=3198&empSeq=555&btnApp=dp01&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mo_classicv&utm_content=card&utm_term={keyword}","신한카드 The CLASSIC-V 피킹률 | 신한카드 The CLASSIC-V 실제 혜택 | 신한 신한카드 The CLASSIC-V 카드 추천"
"naver-card-10207","신한카드 알뜰More(알뜰모아)","신한","346","0.000","0","400000","15000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1219175_2207.html","신한카드 알뜰More(알뜰모아) 피킹률 | 신한카드 알뜰More(알뜰모아) 실제 혜택 | 신한 신한카드 알뜰More(알뜰모아) 카드 추천"
"naver-card-10465","LGE.COM 신한카드","신한","351","0.000","0","500000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1228909_2207.html?empSeq=502&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mo_lgecom&utm_content=card&utm_term={keyword}","LGE.COM 신한카드 피킹률 | LGE.COM 신한카드 실제 혜택 | 신한 LGE.COM 신한카드 카드 추천"
"naver-card-10622","the Purple(대한항공 마일리지형)","현대","354","0.000","0","500000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TPE4&eventCode=ANB05","the Purple(대한항공 마일리지형) 피킹률 | the Purple(대한항공 마일리지형) 실제 혜택 | 현대 the Purple(대한항공 마일리지형) 카드 추천"
"naver-card-10394","현대카드 대한항공카드 060","현대","355","0.000","0","500000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=KALE2T1&eventCode=KAL59","현대카드 대한항공카드 060 피킹률 | 현대카드 대한항공카드 060 실제 혜택 | 현대 현대카드 대한항공카드 060 카드 추천"
