"card_slug","card_name","issuer","rank","picking_rate_percent","monthly_saving","previous_spend","monthly_cap","rule_count","tier_count","has_external_benchmark","risk_score","priority","risk_signals","source_url","search_queries"
"naver-card-10436","현대백화점카드","현대백화점카드","216","0.393","2750","1","5000","1","1","false","28","P2","estimated_rule | not_officially_verified","http://m.ehyundai.com/mobile/card/VO/main.do?menu=0&r=&event_id=&use_r=","현대백화점카드 피킹률 | 현대백화점카드 실제 혜택 | 현대백화점카드 현대백화점카드 카드 추천"
"naver-card-10612","카드의정석2 SHOPPER","우리","217","0.381","2667","500000","5000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=104151&canvasser=88801075&utm_source=naver_cs&utm_medium=cpc&utm_campaign=M_카드섹션&utm_content=%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9D2%20SHOPPER","카드의정석2 SHOPPER 피킹률 | 카드의정석2 SHOPPER 실제 혜택 | 우리 카드의정석2 SHOPPER 카드 추천"
"naver-card-3878","DailyWith (데일리위드)카드","IBK기업은행","218","0.367","2567","500000","5000","4","1","false","28","P2","estimated_rule | not_officially_verified","https://www.ibk.co.kr/cardbiz/detailBizNew.ibk?pageId=CA01020000&PDLN_CD=12&PDGR_CD=11&PDTM_CD=328&PDCD=0001&ad_cd=nvmo&mz_cd=ADGROUN","DailyWith (데일리위드)카드 피킹률 | DailyWith (데일리위드)카드 실제 혜택 | IBK기업은행 DailyWith (데일리위드)카드 카드 추천"
"naver-card-10216","KB국민 My WE:SH 카드","KB국민","219","0.357","2500","400000","5000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09923&mainCC=b","KB국민 My WE:SH 카드 피킹률 | KB국민 My WE:SH 카드 실제 혜택 | KB국민 KB국민 My WE:SH 카드 카드 추천"
"naver-card-10499","현대카드 X Save","현대","220","0.357","2500","500000","20000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XSAV&eventCode=DMVFT","현대카드 X Save 피킹률 | 현대카드 X Save 실제 혜택 | 현대 현대카드 X Save 카드 추천"
"naver-card-10498","현대카드 X Cut","현대","221","0.357","2500","500000","20000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XCUT&eventCode=DMVFE","현대카드 X Cut 피킹률 | 현대카드 X Cut 실제 혜택 | 현대 현대카드 X Cut 카드 추천"
"naver-card-10334","현대카드M","현대","222","0.357","2500","500000","10000","4","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ME4&eventCode=DMV3C","현대카드M 피킹률 | 현대카드M 실제 혜택 | 현대 현대카드M 카드 추천"
"naver-card-10378","coway-현대카드M Edition3","현대","223","0.357","2500","500000","20000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=J&cardWcd=MCWYE3","coway-현대카드M Edition3 피킹률 | coway-현대카드M Edition3 실제 혜택 | 현대 coway-현대카드M Edition3 카드 추천"
"naver-card-10405","SILVER FOR 롯데백화점, 현대카드","현대","224","0.357","2500","500000","5000","3","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=LTTDSHC&eventCode=LTDJY","SILVER FOR 롯데백화점, 현대카드 피킹률 | SILVER FOR 롯데백화점, 현대카드 실제 혜택 | 현대 SILVER FOR 롯데백화점, 현대카드 카드 추천"
"naver-card-10456","올리브영 현대카드","현대","225","0.357","2500","400000","5000","1","1","false","8","P3","not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=OLVYHC","올리브영 현대카드 피킹률 | 올리브영 현대카드 실제 혜택 | 현대 올리브영 현대카드 카드 추천"
